Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Sándor Tibor,2023-05-06 00:00,0,0
Sándor Tibor,2023-05-06 01:00,0,0
Sándor Tibor,2023-05-06 02:00,0,0
Sándor Tibor,2023-05-06 03:00,0,0
Sándor Tibor,2023-05-06 04:00,0,0
Sándor Tibor,2023-05-06 05:00,0,0
Sándor Tibor,2023-05-06 05:15,2.1,0
Sándor Tibor,2023-05-06 05:30,30.899998,0
Sándor Tibor,2023-05-06 05:45,134.59999,0
Sándor Tibor,2023-05-06 06:00,221.3,0
Sándor Tibor,2023-05-06 06:15,159.8,0
Sándor Tibor,2023-05-06 06:30,159.20001,0
Sándor Tibor,2023-05-06 06:45,193.0,0
Sándor Tibor,2023-05-06 07:00,460.9,0
Sándor Tibor,2023-05-06 07:15,945.3999,0
Sándor Tibor,2023-05-06 07:30,1141.9,0
Sándor Tibor,2023-05-06 07:45,870.4,0
Sándor Tibor,2023-05-06 08:00,670.1,0
Sándor Tibor,2023-05-06 08:15,727.6,0
Sándor Tibor,2023-05-06 08:30,1016.2,0
Sándor Tibor,2023-05-06 08:45,1402.1,0
Sándor Tibor,2023-05-06 09:00,2255.0,0
Sándor Tibor,2023-05-06 09:15,1460.2,0
Sándor Tibor,2023-05-06 09:30,1063.5,0
Sándor Tibor,2023-05-06 09:45,585.60004,0
Sándor Tibor,2023-05-06 10:00,933.5,0
Sándor Tibor,2023-05-06 10:15,1187.6,0
Sándor Tibor,2023-05-06 10:30,678.9,0
Sándor Tibor,2023-05-06 10:45,658.80005,0
Sándor Tibor,2023-05-06 11:00,1091.6,0
Sándor Tibor,2023-05-06 11:15,1412.9,0
Sándor Tibor,2023-05-06 11:30,1492.3002,0
Sándor Tibor,2023-05-06 11:45,1129.8,0
Sándor Tibor,2023-05-06 12:00,2057.7,0
Sándor Tibor,2023-05-06 12:15,2482.7,0
Sándor Tibor,2023-05-06 12:30,3916.9998,0
Sándor Tibor,2023-05-06 12:45,3271.5999,0
Sándor Tibor,2023-05-06 13:00,4798.2,0
Sándor Tibor,2023-05-06 13:15,6468.5,0
Sándor Tibor,2023-05-06 13:30,5997.6,0
Sándor Tibor,2023-05-06 13:45,8165.0996,0
Sándor Tibor,2023-05-06 14:00,9976.0,0
Sándor Tibor,2023-05-06 14:15,9892.799,0
Sándor Tibor,2023-05-06 14:30,7365.2,0
Sándor Tibor,2023-05-06 14:45,5715.9,0
Sándor Tibor,2023-05-06 15:00,7977.7,0
Sándor Tibor,2023-05-06 15:15,8251.9,0
Sándor Tibor,2023-05-06 15:30,7614.4004,0
Sándor Tibor,2023-05-06 15:45,8078.9,0
Sándor Tibor,2023-05-06 16:00,1910.4,0
Sándor Tibor,2023-05-06 16:15,359.69998,0
Sándor Tibor,2023-05-06 16:30,1196.5,0
Sándor Tibor,2023-05-06 16:45,4750.1,0
Sándor Tibor,2023-05-06 17:00,4839.0996,0
Sándor Tibor,2023-05-06 17:15,1623.6,0
Sándor Tibor,2023-05-06 17:30,1097.7999,0
Sándor Tibor,2023-05-06 17:45,498.8,0
Sándor Tibor,2023-05-06 18:00,251.8,0
Sándor Tibor,2023-05-06 18:15,691.39996,0
Sándor Tibor,2023-05-06 18:30,627.0,0
Sándor Tibor,2023-05-06 18:45,832.8,0
Sándor Tibor,2023-05-06 19:00,866.6,0
Sándor Tibor,2023-05-06 19:15,564.7,0
Sándor Tibor,2023-05-06 19:30,348.7,0
Sándor Tibor,2023-05-06 19:45,139.8,0
Sándor Tibor,2023-05-06 20:00,36.8,0
Sándor Tibor,2023-05-06 20:15,1.6,0
Sándor Tibor,2023-05-06 21:15,0,0
Sándor Tibor,2023-05-06 22:15,0,0
Sándor Tibor,2023-05-06 23:15,0,0
Sándor Tibor,2023-05-06 00:15,0,0
Sándor Tibor,2023-05-06 01:15,0,0
Sándor Tibor,2023-05-06 02:15,0,0
Sándor Tibor,2023-05-06 03:15,0,0
Sándor Tibor,2023-05-06 04:15,0,0
